grd_ScheduleMain_rn,grd_ScheduleMain_SUBJ_CD,grd_ScheduleMain_SUBJ_KNM,grd_ScheduleMain_SUBJ_ENM,grd_ScheduleMain_NOTE,grd_ScheduleMain_LECT_NUMB,grd_ScheduleMain_CMPT_DIV_NM,grd_ScheduleMain_CMPT_DIV_ENM,grd_ScheduleMain_UNIT,grd_ScheduleMain_LSTM_LIST,grd_ScheduleMain_LSTM_LIST_ENM,grd_ScheduleMain_COUR_INWON,grd_ScheduleMain_SP_LESS_CD_NM,grd_ScheduleMain_SP_LESS_CD_ENM,grd_ScheduleMain_MNG_LESS_NM,grd_ScheduleMain_MNG_LESS_ENM,grd_ScheduleMain_PROF_NM,grd_ScheduleMain_PROF_ENM,grd_ScheduleMain_BLDG_COUM,grd_ScheduleMain_BLDG_COUM_ENM,grd_ScheduleMain_PROG_YN,grd_ScheduleMain_OTSH_LIMT_YN,grd_ScheduleMain_DLES_COUR_PBT_YN,grd_ScheduleMain_ETC,grd_ScheduleMain_ETC_ENM
1,100834,일반화학,General Chemistry,,11001,교필,General Education Required Course,3,목(1 ~ 3),Thu(1 ~ 3),52,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,조성관,조성관,청운관(북관)-027,Chungwoon Hall(006A)-027,보기,Y,Y,전공기초교양,전공기초교양
2,100834,일반화학,General Chemistry,,11002,교필,General Education Required Course,3,목(1 ~ 3),Thu(1 ~ 3),52,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,정우영,정우영,청운관(북관)-024,Chungwoon Hall(006A)-024,보기,Y,Y,전공기초교양,전공기초교양
3,100834,일반화학,General Chemistry,,11003,교필,General Education Required Course,3,목(5 ~ 7),Thu(5 ~ 7),52,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,조성관,조성관,청운관(남관)-320,Chungwoon Hall(006)-320,보기,Y,,전공기초교양,전공기초교양
4,100834,일반화학,General Chemistry,,11004,교필,General Education Required Course,3,목(5 ~ 7),Thu(5 ~ 7),52,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,정우영,정우영,청운관(북관)-024,Chungwoon Hall(006A)-024,보기,Y,Y,전공기초교양,전공기초교양
5,161005,재료역학,Mechanics Of Materials,,21007,전필,Major Required Courses,3,"화(3 ~ 4), 목(8)","Tue(3 ~ 4), Thu(8)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김기범,"KIM,   GI BOM",프론티어관-402 프론티어관-402,Frontier Hall(032)-402,보기,Y,Y,,
6,161005,재료역학,Mechanics Of Materials,,21009,전필,Major Required Courses,3,"월(5), 수(1 ~ 2)","Mon(5), Wed(1 ~ 2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,박근,박근,프론티어관-318 프론티어관-318,Frontier Hall(032)-318,보기,Y,Y,,
7,161005,재료역학,Mechanics Of Materials,,21010,전필,Major Required Courses,3,"월(7 ~ 8), 수(7)","Mon(7 ~ 8), Wed(7)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이승현,Seunghyun Lee,다산관-319 다산관-319,Dasan Hall(002)-319,보기,Y,Y,영어전용(Y),Offered in English
8,161005,재료역학,Mechanics Of Materials,,21008,전필,Major Required Courses,3,"월(5), 수(1 ~ 2)","Mon(5), Wed(1 ~ 2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,허남수,"HUH, NAM-SU",프론티어관-402 프론티어관-316,Frontier Hall(032)-316 Frontier Hall(032)-402,보기,Y,Y,,
9,161005,재료역학,Mechanics Of Materials,,21006,전필,Major Required Courses,3,"화(2), 목(6 ~ 7)","Tue(2), Thu(6 ~ 7)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김기범,"KIM,   GI BOM",프론티어관-408 프론티어관-408,Frontier Hall(032)-408,보기,Y,Y,,
10,161005,재료역학,Mechanics Of Materials,,21011,전필,Major Required Courses,3,"화(3 ~ 4), 목(2)","Tue(3 ~ 4), Thu(2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이승현,Seunghyun Lee,다산관-318 다산관-318,Dasan Hall(002)-318,보기,Y,Y,영어전용(Y),Offered in English
