grd_ScheduleMain_rn,grd_ScheduleMain_SUBJ_CD,grd_ScheduleMain_SUBJ_KNM,grd_ScheduleMain_SUBJ_ENM,grd_ScheduleMain_NOTE,grd_ScheduleMain_LECT_NUMB,grd_ScheduleMain_CMPT_DIV_NM,grd_ScheduleMain_CMPT_DIV_ENM,grd_ScheduleMain_UNIT,grd_ScheduleMain_LSTM_LIST,grd_ScheduleMain_LSTM_LIST_ENM,grd_ScheduleMain_COUR_INWON,grd_ScheduleMain_SP_LESS_CD_NM,grd_ScheduleMain_SP_LESS_CD_ENM,grd_ScheduleMain_MNG_LESS_NM,grd_ScheduleMain_MNG_LESS_ENM,grd_ScheduleMain_PROF_NM,grd_ScheduleMain_PROF_ENM,grd_ScheduleMain_BLDG_COUM,grd_ScheduleMain_BLDG_COUM_ENM,grd_ScheduleMain_PROG_YN,grd_ScheduleMain_OTSH_LIMT_YN,grd_ScheduleMain_DLES_COUR_PBT_YN,grd_ScheduleMain_ETC,grd_ScheduleMain_ETC_ENM
1,100019,파생상품의수학적이해,Mathematical Introduction to Derivatives,,31001,교선,General Education Elective,3,수(7 ~ 9),Wed(7 ~ 9),30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,김건우,"Kim,Geonwoo",상상관-621,Sangsang Hall(53)-621,보기,N,,일반+사이버(70%미만)강좌,
2,100021,인공지능의수학과과학,Mathematics and science behind Artificial Intelligence,,31001,교선,General Education Elective,3,월(2 ~ 4),Mon(2 ~ 4),30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,"김병찬, 박명훈","Kim, Byung Chan",아름관-318,Areum Hall(054)-318,보기,N,,일반+사이버(70%미만)강좌,
3,100021,인공지능의수학과과학,Mathematics and science behind Artificial Intelligence,,31002,교선,General Education Elective,3,화(4 ~ 6),Tue(4 ~ 6),30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,김한울,Hanul Kim,상상관-703,Sangsang Hall(53)-703,보기,N,,,
4,100021,인공지능의수학과과학,Mathematics and science behind Artificial Intelligence,,31003,교선,General Education Elective,3,수(8 ~ 10),Wed(8 ~ 10),30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,김병수,김병수,상상관-212,Sangsang Hall(53)-212,보기,N,,,
5,100031,생명과진화,Life and Evolution,,31002,교선,General Education Elective,3,금(6 ~ 8),Fri(6 ~ 8),40,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,이형석,이형석,다빈치관-001,Davinci Hall(039)-001,보기,N,,,
6,100031,생명과진화,Life and Evolution,,31001,교선,General Education Elective,3,금(2 ~ 4),Fri(2 ~ 4),40,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,이형석,이형석,다빈치관-001,Davinci Hall(039)-001,보기,N,,,
7,100044,이슬람문명의이해,Understanding of the Islamic Civilization,,31001,교선,General Education Elective,3,화(7 ~ 9),Tue(7 ~ 9),40,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,이은정,이은정,다빈치관-001,Davinci Hall(039)-001,보기,N,,,
8,100046,현대일본의형성,A Modern History of Japan,,31001,교선,General Education Elective,3,목(7 ~ 9),Thu(7 ~ 9),40,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,안재익,AHN JAEIK,다빈치관-219,Davinci Hall(039)-219,보기,N,,,
9,100047,미국사의이해,Understanding American History,,31001,교선,General Education Elective,3,목(7 ~ 9),Thu(7 ~ 9),40,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,하아랑,하아랑,상상관-108,Sangsang Hall(53)-108,보기,N,,,
10,100049,대학생이알아야할시사,Current Affairs for College Students,,31001,교선,General Education Elective,3,수(1 ~ 3),Wed(1 ~ 3),40,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,고원,고원,창학관-113,Changhak Hall(003)-113,보기,N,,,
11,100053,현대사회의고용과노동,Employment and Labor in the Contemporary  Society,,31001,교선,General Education Elective,3,화(1 ~ 3),Tue(1 ~ 3),40,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,홍주환,"HONG, JOO HWAN",창학관-113,Changhak Hall(003)-113,보기,N,,,
12,100054,21세기동북아시아국제관계,International Relations in Twenty-first Century East Asia,,31001,교선,General Education Elective,3,목(7 ~ 9),Thu(7 ~ 9),40,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,구자선,구자선,무궁관-106,Mugung Hall(057)-106,보기,N,,,
