grd_ScheduleMain_rn,grd_ScheduleMain_SUBJ_CD,grd_ScheduleMain_SUBJ_KNM,grd_ScheduleMain_SUBJ_ENM,grd_ScheduleMain_NOTE,grd_ScheduleMain_LECT_NUMB,grd_ScheduleMain_CMPT_DIV_NM,grd_ScheduleMain_CMPT_DIV_ENM,grd_ScheduleMain_UNIT,grd_ScheduleMain_LSTM_LIST,grd_ScheduleMain_LSTM_LIST_ENM,grd_ScheduleMain_COUR_INWON,grd_ScheduleMain_SP_LESS_CD_NM,grd_ScheduleMain_SP_LESS_CD_ENM,grd_ScheduleMain_MNG_LESS_NM,grd_ScheduleMain_MNG_LESS_ENM,grd_ScheduleMain_PROF_NM,grd_ScheduleMain_PROF_ENM,grd_ScheduleMain_BLDG_COUM,grd_ScheduleMain_BLDG_COUM_ENM,grd_ScheduleMain_PROG_YN,grd_ScheduleMain_OTSH_LIMT_YN,grd_ScheduleMain_DLES_COUR_PBT_YN,grd_ScheduleMain_ETC,grd_ScheduleMain_ETC_ENM
1,101068,일반물리학(2),General Physics(2),,11036,교필,General Education Required Course,2,화(6 ~ 7),Tue(6 ~ 7),33,기계시스템디자인공학과,Department of Mechanical System Design Engineering,교양대학,College of Liberal Arts,김수경,김수경,다빈치관-103,Davinci Hall(039)-103,보기,N,,전공기초교양,전공기초교양
2,101068,일반물리학(2),General Physics(2),,11037,교필,General Education Required Course,2,화(6 ~ 7),Tue(6 ~ 7),33,기계시스템디자인공학과,Department of Mechanical System Design Engineering,교양대학,College of Liberal Arts,전종훈,전종훈,국제관-410,International Hall(038)-410,보기,N,,전공기초교양,전공기초교양
3,101068,일반물리학(2),General Physics(2),,11038,교필,General Education Required Course,2,화(6 ~ 7),Tue(6 ~ 7),33,기계시스템디자인공학과,Department of Mechanical System Design Engineering,교양대학,College of Liberal Arts,최일수,최일수,다빈치관-105,Davinci Hall(039)-105,보기,N,,전공기초교양,전공기초교양
4,101068,일반물리학(2),General Physics(2),,11007,교필,General Education Required Course,2,목(3 ~ 4),Thu(3 ~ 4),33,기계시스템디자인공학과,Department of Mechanical System Design Engineering,교양대학,College of Liberal Arts,윤여웅,윤여웅,다빈치관-104,Davinci Hall(039)-104,보기,N,,전공기초교양,전공기초교양
5,101068,일반물리학(2),General Physics(2),,11008,교필,General Education Required Course,2,목(3 ~ 4),Thu(3 ~ 4),33,기계시스템디자인공학과,Department of Mechanical System Design Engineering,교양대학,College of Liberal Arts,이동원,이동원,다빈치관-105,Davinci Hall(039)-105,보기,N,,전공기초교양,전공기초교양
6,101068,일반물리학(2),General Physics(2),,11009,교필,General Education Required Course,2,목(3 ~ 4),Thu(3 ~ 4),33,기계시스템디자인공학과,Department of Mechanical System Design Engineering,교양대학,College of Liberal Arts,조진기,조진기,다빈치관-106,Davinci Hall(039)-106,보기,N,,전공기초교양,전공기초교양
7,161004,정역학,Statics,,11003,전선,Major Electives,3,"화(3 ~ 4), 목(9)","Tue(3 ~ 4), Thu(9)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김성동,김성동,프론티어관-318 프론티어관-318,Frontier Hall(032)-318,보기,Y,Y,,
8,161004,정역학,Statics,,11008,전선,Major Electives,3,"월(5 ~ 6), 목(5)","Mon(5 ~ 6), Thu(5)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이창환,Chang-Whan LEE,다산관-316 다산관-316,Dasan Hall(002)-316,보기,Y,,영어전용(Y),Offered in English
9,161004,정역학,Statics,,11007,전선,Major Electives,3,"화(5), 목(2 ~ 3)","Tue(5), Thu(2 ~ 3)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,박민수,"Park, Min Soo",다산관-316 다산관-316,Dasan Hall(002)-316,보기,Y,Y,,
10,161004,정역학,Statics,,11006,전선,Major Electives,3,"화(5), 목(1 ~ 2)","Tue(5), Thu(1 ~ 2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,표순재,Soonjae Pyo,프론티어관-410 프론티어관-410,Frontier Hall(032)-410,보기,Y,Y,,
11,161004,정역학,Statics,,11005,전선,Major Electives,3,"월(6 ~ 7), 목(3)","Mon(6 ~ 7), Thu(3)",43,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,허남수,"HUH, NAM-SU",프론티어관-409 프론티어관-409,Frontier Hall(032)-409,보기,Y,Y,,
12,161004,정역학,Statics,,11004,전선,Major Electives,3,"월(1 ~ 2), 수(5)","Mon(1 ~ 2), Wed(5)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,조영학,"Cho, Young Hak",프론티어관-409 프론티어관-409,Frontier Hall(032)-409,보기,Y,Y,,
13,161007,공학수학(2),Engineering Mathematics(2),,21008,전필,Major Required Courses,3,"월(1 ~ 2), 수(5)","Mon(1 ~ 2), Wed(5)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김영석,김영석,프론티어관-406 프론티어관-406,Frontier Hall(032)-406,보기,Y,Y,,
14,161007,공학수학(2),Engineering Mathematics(2),,21009,전필,Major Required Courses,3,"월(7), 목(3 ~ 4)","Mon(7), Thu(3 ~ 4)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김영석,김영석,프론티어관-509 프론티어관-408,Frontier Hall(032)-408 Frontier Hall(032)-509,보기,Y,Y,,
15,161007,공학수학(2),Engineering Mathematics(2),,21010,전필,Major Required Courses,3,"수(5), 금(1 ~ 2)","Wed(5), Fri(1 ~ 2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김기범,"KIM,   GI BOM",프론티어관-410 프론티어관-410,Frontier Hall(032)-410,보기,Y,Y,,
16,161007,공학수학(2),Engineering Mathematics(2),,21012,전필,Major Required Courses,3,"월(2 ~ 3), 수(2)","Mon(2 ~ 3), Wed(2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김정현,"Kim, Jeong-Hyun",다산관-110 다산관-110,Dasan Hall(002)-110,보기,Y,Y,영어전용(Y),Offered in English
17,161007,공학수학(2),Engineering Mathematics(2),,21013,전필,Major Required Courses,3,"화(5 ~ 6), 목(5)","Tue(5 ~ 6), Thu(5)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김정현,"Kim, Jeong-Hyun",다산관-314 다산관-314,Dasan Hall(002)-314,보기,Y,Y,영어전용(Y),Offered in English
18,161008,기계공작법,Manufacturing Processes,,21001,전선,Major Electives,3,"월(7 ~ 8), 화(9)","Mon(7 ~ 8), Tue(9)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,황지홍,"Hwang, Jihong",다산관-110 다산관-110,Dasan Hall(002)-110,보기,Y,,영어전용(M),Offered in English
19,161008,기계공작법,Manufacturing Processes,,21002,전선,Major Electives,3,"수(8 ~ 9), 목(9)","Wed(8 ~ 9), Thu(9)",60,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,황지홍,"Hwang, Jihong",다산관-310 다산관-310,Dasan Hall(002)-310,보기,Y,,,
20,161009,수치해석,Numerical Analysis,,31001,전선,Major Electives,3,"월(5), 수(1 ~ 2)","Mon(5), Wed(1 ~ 2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,박근,박근,프론티어관-409 프론티어관-409,Frontier Hall(032)-409,보기,Y,Y,,
21,161009,수치해석,Numerical Analysis,,31002,전선,Major Electives,3,"월(5), 수(1 ~ 2)","Mon(5), Wed(1 ~ 2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이치범,"LEE, CHIBUM",프론티어관-408 프론티어관-408,Frontier Hall(032)-408,보기,Y,Y,,
22,161009,수치해석,Numerical Analysis,,31003,전선,Major Electives,3,"월(3 ~ 4), 화(6)","Mon(3 ~ 4), Tue(6)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김정우,김정우,프론티어관-509 프론티어관-402,Frontier Hall(032)-509 Frontier Hall(032)-402,보기,Y,Y,,
23,161009,수치해석,Numerical Analysis,,31005,전선,Major Electives,3,"화(2), 목(2 ~ 3)","Tue(2), Thu(2 ~ 3)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이승현,Seunghyun Lee,다산관-317 다산관-317,Dasan Hall(002)-317,보기,Y,Y,,
24,181003,프로그래밍입문,Introduction to Programming,,11001,전선,Major Electives,3,"화(3 ~ 4), 목(6 ~ 7)","Tue(3 ~ 4), Thu(6 ~ 7)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,박희재,박희재,프론티어관-502 프론티어관-502,Frontier Hall(032)-502,보기,Y,Y,,
25,181003,프로그래밍입문,Introduction to Programming,,11006,전선,Major Electives,3,"화(2 ~ 3), 목(8 ~ 9)","Tue(2 ~ 3), Thu(8 ~ 9)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김헌,"Kim, Huhn",다산관-229 다산관-229,Dasan Hall(002)-229,보기,Y,Y,,
26,181003,프로그래밍입문,Introduction to Programming,,11005,전선,Major Electives,3,"월(2 ~ 3), 수(8 ~ 9)","Mon(2 ~ 3), Wed(8 ~ 9)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김헌,"Kim, Huhn",다산관-229 다산관-229,Dasan Hall(002)-229,보기,Y,Y,,
27,181003,프로그래밍입문,Introduction to Programming,,11004,전선,Major Electives,3,"화(3 ~ 4), 목(8 ~ 9)","Tue(3 ~ 4), Thu(8 ~ 9)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,안다훈,"Ahn, Dahoon",하이테크관-201 프론티어관-511,Frontier Hall(032)-511 High Tech Hall(033)-201,보기,Y,Y,,
28,181003,프로그래밍입문,Introduction to Programming,,11003,전선,Major Electives,3,"화(8 ~ 9), 수(6 ~ 7)","Tue(8 ~ 9), Wed(6 ~ 7)",34,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,안다훈,"Ahn, Dahoon",프론티어관-502 프론티어관-502,Frontier Hall(032)-502,보기,Y,Y,,
29,181003,프로그래밍입문,Introduction to Programming,,11002,전선,Major Electives,3,"월(8 ~ 9), 화(1 ~ 2)","Mon(8 ~ 9), Tue(1 ~ 2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김태훈,Taehoon Kim,프론티어관-502 프론티어관-502,Frontier Hall(032)-502,보기,Y,Y,,
30,181009,유체역학,Fluid Mechanics,,21006,전필,Major Required Courses,3,"목(2), 금(5 ~ 6)","Thu(2), Fri(5 ~ 6)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김정현,"Kim, Jeong-Hyun",다산관-314 다산관-314,Dasan Hall(002)-314,보기,Y,Y,,
31,181009,유체역학,Fluid Mechanics,,21004,전필,Major Required Courses,3,"월(3 ~ 4), 화(6)","Mon(3 ~ 4), Tue(6)",43,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김태훈,Taehoon Kim,프론티어관-316 프론티어관-509,Frontier Hall(032)-509 Frontier Hall(032)-316,보기,Y,,영어전용(M),Offered in English
