grd_ScheduleMain_rn,grd_ScheduleMain_SUBJ_CD,grd_ScheduleMain_SUBJ_KNM,grd_ScheduleMain_SUBJ_ENM,grd_ScheduleMain_NOTE,grd_ScheduleMain_LECT_NUMB,grd_ScheduleMain_CMPT_DIV_NM,grd_ScheduleMain_CMPT_DIV_ENM,grd_ScheduleMain_UNIT,grd_ScheduleMain_LSTM_LIST,grd_ScheduleMain_LSTM_LIST_ENM,grd_ScheduleMain_COUR_INWON,grd_ScheduleMain_SP_LESS_CD_NM,grd_ScheduleMain_SP_LESS_CD_ENM,grd_ScheduleMain_MNG_LESS_NM,grd_ScheduleMain_MNG_LESS_ENM,grd_ScheduleMain_PROF_NM,grd_ScheduleMain_PROF_ENM,grd_ScheduleMain_BLDG_COUM,grd_ScheduleMain_BLDG_COUM_ENM,grd_ScheduleMain_PROG_YN,grd_ScheduleMain_OTSH_LIMT_YN,grd_ScheduleMain_DLES_COUR_PBT_YN,grd_ScheduleMain_ETC,grd_ScheduleMain_ETC_ENM
1,113037,파이썬프로그래밍,Python Programming,,11002,전선,Major Electives,3,금(6 ~ 9),Fri(6 ~ 9),45,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,정진우,Jin-Woo Jeong,하이테크관-201,High Tech Hall(033)-201,보기,Y,Y,,
2,113037,파이썬프로그래밍,Python Programming,,11001,전선,Major Electives,3,금(1 ~ 4),Fri(1 ~ 4),40,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,최희식,최희식,프론티어관-502,Frontier Hall(032)-502,보기,Y,Y,,
3,113043,경제성평가론,Economic Assessment,,31001,전선,Major Electives,3,목(2 ~ 4),Thu(2 ~ 4),42,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,안재경,"Ahn,  JaeKyoung",프론티어관-402,Frontier Hall(032)-402,보기,Y,Y,,
4,113241,통계처리입문,Introduction to Statistics,,11002,전선,Major Electives,3,목(6 ~ 8),Thu(6 ~ 8),41,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,홍정식,"Hong, Jungsik",프론티어관-409,Frontier Hall(032)-409,보기,Y,Y,,
5,113241,통계처리입문,Introduction to Statistics,,11001,전선,Major Electives,3,화(6 ~ 8),Tue(6 ~ 8),38,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,홍정식,"Hong, Jungsik",프론티어관-409,Frontier Hall(032)-409,보기,Y,Y,,
6,113258,공업통계학,Engineering Statistics,,21002,전필,Major Required Courses,3,월(2 ~ 4),Mon(2 ~ 4),44,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,심재웅,Shim Jaewoong,프론티어관-511,Frontier Hall(032)-511,보기,Y,Y,영어전용(Y),Offered in English
7,113258,공업통계학,Engineering Statistics,,21001,전필,Major Required Courses,3,수(6 ~ 8),Wed(6 ~ 8),40,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,국광호,국광호,프론티어관-501,Frontier Hall(032)-501,보기,Y,Y,영어전용(M),Offered in English
8,113312,컴퓨터시뮬레이션,Computer Simulation,,31001,전선,Major Electives,3,월(6 ~ 9),Mon(6 ~ 9),35,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,장성용,장성용,프론티어관-501,Frontier Hall(032)-501,보기,Y,Y,,
9,113355,품질공학,Quality Engineering,,31001,전선,Major Electives,3,금(6 ~ 8),Fri(6 ~ 8),40,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,소영섭,소영섭,프론티어관-406,Frontier Hall(032)-406,보기,Y,Y,,
10,113409,선형대수학,Linear Algebra,,21001,전선,Major Electives,3,화(6 ~ 8),Tue(6 ~ 8),70,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,이강원,이강원,프론티어관-401,Frontier Hall(032)-401,보기,Y,Y,영어전용(M),Offered in English
11,113434,데이터베이스,Database,,21001,전선,Major Electives,3,화(2 ~ 5),Tue(2 ~ 5),40,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,권혁윤,"Kwon, Hyuk-Yoon",프론티어관-501,Frontier Hall(032)-501,보기,Y,Y,,
