grd_ScheduleMain_rn,grd_ScheduleMain_SUBJ_CD,grd_ScheduleMain_SUBJ_KNM,grd_ScheduleMain_SUBJ_ENM,grd_ScheduleMain_NOTE,grd_ScheduleMain_LECT_NUMB,grd_ScheduleMain_CMPT_DIV_NM,grd_ScheduleMain_CMPT_DIV_ENM,grd_ScheduleMain_UNIT,grd_ScheduleMain_LSTM_LIST,grd_ScheduleMain_LSTM_LIST_ENM,grd_ScheduleMain_COUR_INWON,grd_ScheduleMain_SP_LESS_CD_NM,grd_ScheduleMain_SP_LESS_CD_ENM,grd_ScheduleMain_MNG_LESS_NM,grd_ScheduleMain_MNG_LESS_ENM,grd_ScheduleMain_PROF_NM,grd_ScheduleMain_PROF_ENM,grd_ScheduleMain_BLDG_COUM,grd_ScheduleMain_BLDG_COUM_ENM,grd_ScheduleMain_PROG_YN,grd_ScheduleMain_OTSH_LIMT_YN,grd_ScheduleMain_DLES_COUR_PBT_YN,grd_ScheduleMain_ETC,grd_ScheduleMain_ETC_ENM
1,100019,파생상품의수학적이해,Mathematical Introduction to Derivatives,,31001,교선,General Education Elective,3,수(6 ~ 8),Wed(6 ~ 8),30,교양대학,College of Liberal Arts,자연과학부,School of Natural Sciences,김건우,"Kim,Geonwoo",어의관-405,Eoui Hall(040)-405,보기,N,,,
2,100021,인공지능의수학과과학,Mathematics and science behind Artificial Intelligence,,31001,교선,General Education Elective,3,월(5 ~ 7),Mon(5 ~ 7),30,교양대학,College of Liberal Arts,자연과학부,School of Natural Sciences,박명훈,Park Myeonghun,어의관-405,Eoui Hall(040)-405,보기,N,,,
3,100021,인공지능의수학과과학,Mathematics and science behind Artificial Intelligence,,31002,교선,General Education Elective,3,목(5 ~ 7),Thu(5 ~ 7),30,교양대학,College of Liberal Arts,자연과학부,School of Natural Sciences,김한울,Hanul Kim,상상관-624,Sangsang Hall(53)-624,보기,N,,,
4,100021,인공지능의수학과과학,Mathematics and science behind Artificial Intelligence,,31003,교선,General Education Elective,3,화(6 ~ 8),Tue(6 ~ 8),30,교양대학,College of Liberal Arts,자연과학부,School of Natural Sciences,김성은,Seong-Eun Kim,상상관-624,Sangsang Hall(53)-624,보기,N,,,
5,100031,생명과진화,Life and Evolution,,31002,교선,General Education Elective,3,금(6 ~ 8),Fri(6 ~ 8),40,교양대학,College of Liberal Arts,인문사회교양학부,School of Humanities and Social Sciences,이형석,이형석,어의관-308,Eoui Hall(040)-308,보기,N,,,
6,100031,생명과진화,Life and Evolution,,31001,교선,General Education Elective,3,금(2 ~ 4),Fri(2 ~ 4),40,교양대학,College of Liberal Arts,인문사회교양학부,School of Humanities and Social Sciences,이형석,이형석,어의관-308,Eoui Hall(040)-308,보기,N,,,
7,100039,미디어로본한국사,Korean History in Mass-media,,31001,교선,General Education Elective,3,월(3 ~ 5),Mon(3 ~ 5),40,교양대학,College of Liberal Arts,인문사회교양학부,School of Humanities and Social Sciences,정상우,"Jeong, Sang woo",어의관-312,Eoui Hall(040)-312,보기,N,,,
8,100043,한국사를통해본동아시아,Historical developments in East Asia through Korean History,,31001,교선,General Education Elective,3,목(7 ~ 9),Thu(7 ~ 9),40,교양대학,College of Liberal Arts,인문사회교양학부,School of Humanities and Social Sciences,윤현상,Yoon Hyunsang,어의관-303,Eoui Hall(040)-303,보기,N,,,
9,100045,중화제국의몰락과신중국의 탄생,Modern Chinese history,,31001,교선,General Education Elective,3,수(4 ~ 6),Wed(4 ~ 6),40,교양대학,College of Liberal Arts,인문사회교양학부,School of Humanities and Social Sciences,유현정,유현정,어의관-301,Eoui Hall(040)-301,보기,N,,,
10,100046,현대일본의형성,A Modern History of Japan,,31001,교선,General Education Elective,3,금(7 ~ 9),Fri(7 ~ 9),40,교양대학,College of Liberal Arts,인문사회교양학부,School of Humanities and Social Sciences,안재익,AHN JAEIK,어의관-213,Eoui Hall(040)-213,보기,N,,,
11,100049,대학생이알아야할시사,Current Affairs for College Students,,31001,교선,General Education Elective,3,수(1 ~ 3),Wed(1 ~ 3),40,교양대학,College of Liberal Arts,인문사회교양학부,School of Humanities and Social Sciences,고원,고원,어의관-312,Eoui Hall(040)-312,보기,N,,,
12,100053,현대사회의고용과노동,Employment and Labor in the Contemporary  Society,,31001,교선,General Education Elective,3,화(1 ~ 3),Tue(1 ~ 3),40,교양대학,College of Liberal Arts,인문사회교양학부,School of Humanities and Social Sciences,홍주환,"HONG, JOO HWAN",어의관-211,Eoui Hall(040)-211,보기,N,,,
13,100063,현대과학과인류문명,Modern Science and Human Civilization,군 이러닝 강좌,31003,교선,General Education Elective,3,금(10 ~ 12),Fri(10 ~ 12),999,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,강신규,강신규,,,보기,Y,,사이버강좌전용 제4영역,Online course 제4영역
14,100063,현대과학과인류문명,Modern Science and Human Civilization,,31001,교선,General Education Elective,3,월(10 ~ 12),Mon(10 ~ 12),40,교양대학,College of Liberal Arts,융합교양학부,School of Convergence,강신규,강신규,어의관-405,Eoui Hall(040)-405,보기,N,,제4영역,제4영역
15,100065,글로벌이슈와국제관계,Global Issues and International Relations,,31001,교선,General Education Elective,3,월(2 ~ 4),Mon(2 ~ 4),40,교양대학,College of Liberal Arts,인문사회교양학부,School of Humanities and Social Sciences,김영순,"Kim, Yeong-Soon",어의관-506,Eoui Hall(040)-506,보기,N,,,
16,100066,행복심리학,Psychology of Happiness,,31001,교선,General Education Elective,3,목(2 ~ 4),Thu(2 ~ 4),40,교양대학,College of Liberal Arts,인문사회교양학부,School of Humanities and Social Sciences,신혜진,Shin HaeJin,어의관-316,Eoui Hall(040)-316,보기,N,,,
17,100147,볼링1,Bowling1,,31002,교선,General Education Elective,2,수(6 ~ 8),Wed(6 ~ 8),30,교양대학,College of Liberal Arts,스포츠과학과,Department of Sports Sciences,박형길,박형길,무궁관-202,Mugung Hall(057)-202 (),보기,Y,,체육,Physical education
18,100147,볼링1,Bowling1,,31003,교선,General Education Elective,2,목(2 ~ 4),Thu(2 ~ 4),30,교양대학,College of Liberal Arts,스포츠과학과,Department of Sports Sciences,박형길,박형길,무궁관-202,Mugung Hall(057)-202 (),보기,Y,,체육,Physical education
19,100147,볼링1,Bowling1,,31004,교선,General Education Elective,2,화(6 ~ 8),Tue(6 ~ 8),30,교양대학,College of Liberal Arts,스포츠과학과,Department of Sports Sciences,이종화,Jonghwa Lee,무궁관-202,Mugung Hall(057)-202 (),보기,Y,,체육,Physical education
20,100147,볼링1,Bowling1,,31005,교선,General Education Elective,2,화(2 ~ 4),Tue(2 ~ 4),30,교양대학,College of Liberal Arts,스포츠과학과,Department of Sports Sciences,강수진,강수진,무궁관-202,Mugung Hall(057)-202 (),보기,Y,,체육,Physical education
21,100147,볼링1,Bowling1,,31006,교선,General Education Elective,2,목(5 ~ 7),Thu(5 ~ 7),30,교양대학,College of Liberal Arts,스포츠과학과,Department of Sports Sciences,강수진,강수진,무궁관-303,Mugung Hall(057)-303 (),보기,Y,,체육,Physical education
22,100147,볼링1,Bowling1,,31007,교선,General Education Elective,2,금(6 ~ 8),Fri(6 ~ 8),30,교양대학,College of Liberal Arts,스포츠과학과,Department of Sports Sciences,이학권,이학권,무궁관-202,Mugung Hall(057)-202,보기,Y,,체육,Physical education
23,100147,볼링1,Bowling1,,31001,교선,General Education Elective,2,월(6 ~ 8),Mon(6 ~ 8),30,교양대학,College of Liberal Arts,스포츠과학과,Department of Sports Sciences,신규리,"Shin, KyuLee",무궁관-303,Mugung Hall(057)-303 (),보기,Y,,영어전용(Y) 체육,Offered in English Physical education
24,100154,테니스,Tennis,,31004,교선,General Education Elective,2,수(5 ~ 7),Wed(5 ~ 7),30,교양대학,College of Liberal Arts,스포츠과학과,Department of Sports Sciences,이재무,jae moo,미래관-B106,Mirae Hall(060)-B106,보기,Y,,체육,Physical education
25,100154,테니스,Tennis,,31003,교선,General Education Elective,2,목(4 ~ 6),Thu(4 ~ 6),30,교양대학,College of Liberal Arts,스포츠과학과,Department of Sports Sciences,이광호,LEE KWANG HO,무궁관-202,Mugung Hall(057)-202 (),보기,Y,,체육,Physical education
26,100154,테니스,Tennis,,31002,교선,General Education Elective,2,목(1 ~ 3),Thu(1 ~ 3),30,교양대학,College of Liberal Arts,스포츠과학과,Department of Sports Sciences,이광호,LEE KWANG HO,무궁관-303,Mugung Hall(057)-303 (),보기,Y,,체육,Physical education
27,100154,테니스,Tennis,,31001,교선,General Education Elective,2,월(7 ~ 9),Mon(7 ~ 9),30,교양대학,College of Liberal Arts,스포츠과학과,Department of Sports Sciences,박세혁,"PARK, SE-HYUK",무궁관-303,Mugung Hall(057)-303,보기,Y,,영어전용(M) 체육,Offered in English Physical education
28,100165,미분적분학(1),Calculus(1),,11019,교필,General Education Required Course,3,"화(6 ~ 7), 목(6 ~ 7)","Tue(6 ~ 7), Thu(6 ~ 7)",33,교양대학,College of Liberal Arts,자연과학부,School of Natural Sciences,조성민,조성민,다빈치관-108 다빈치관-108,Davinci Hall(039)-108,보기,N,,학문기초교양,학문기초교양
29,100165,미분적분학(1),Calculus(1),,11020,교필,General Education Required Course,3,"화(6 ~ 7), 목(6 ~ 7)","Tue(6 ~ 7), Thu(6 ~ 7)",33,교양대학,College of Liberal Arts,자연과학부,School of Natural Sciences,함지영,함지영,다빈치관-218 다빈치관-218,Davinci Hall(039)-218,보기,N,,학문기초교양,학문기초교양
30,100165,미분적분학(1),Calculus(1),,11021,교필,General Education Required Course,3,"수(3 ~ 4), 금(1 ~ 2)","Wed(3 ~ 4), Fri(1 ~ 2)",33,교양대학,College of Liberal Arts,자연과학부,School of Natural Sciences,김병일,김병일,다빈치관-103 다빈치관-103,Davinci Hall(039)-103,보기,N,,학문기초교양,학문기초교양
31,100165,미분적분학(1),Calculus(1),,11022,교필,General Education Required Course,3,"수(3 ~ 4), 금(1 ~ 2)","Wed(3 ~ 4), Fri(1 ~ 2)",33,교양대학,College of Liberal Arts,자연과학부,School of Natural Sciences,신현혜,Shin Hyun Hye,다빈치관-104 다빈치관-104,Davinci Hall(039)-104,보기,N,,학문기초교양,학문기초교양
