grd_ScheduleMain_rn,grd_ScheduleMain_SUBJ_CD,grd_ScheduleMain_SUBJ_KNM,grd_ScheduleMain_SUBJ_ENM,grd_ScheduleMain_NOTE,grd_ScheduleMain_LECT_NUMB,grd_ScheduleMain_CMPT_DIV_NM,grd_ScheduleMain_CMPT_DIV_ENM,grd_ScheduleMain_UNIT,grd_ScheduleMain_LSTM_LIST,grd_ScheduleMain_LSTM_LIST_ENM,grd_ScheduleMain_COUR_INWON,grd_ScheduleMain_SP_LESS_CD_NM,grd_ScheduleMain_SP_LESS_CD_ENM,grd_ScheduleMain_MNG_LESS_NM,grd_ScheduleMain_MNG_LESS_ENM,grd_ScheduleMain_PROF_NM,grd_ScheduleMain_PROF_ENM,grd_ScheduleMain_BLDG_COUM,grd_ScheduleMain_BLDG_COUM_ENM,grd_ScheduleMain_PROG_YN,grd_ScheduleMain_OTSH_LIMT_YN,grd_ScheduleMain_DLES_COUR_PBT_YN,grd_ScheduleMain_ETC,grd_ScheduleMain_ETC_ENM
1,100834,일반화학,General Chemistry,"일반화학및실험 재수강 가능, 타과제한해제는 수강정정기간에 문의",11002,기필,Basic Requirements,3,월(5 ~ 7),Mon(5 ~ 7),87,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,안성환,Ahn Sung Hwan,청운관(북관)-017,Chungwoon Hall(006A)-017,보기,Y,,기초필수,기초필수
2,100834,일반화학,General Chemistry,"일반화학및실험 재수강 가능, 타과제한해제는 수강정정기간에 문의",11003,기필,Basic Requirements,3,목(6 ~ 8),Thu(6 ~ 8),57,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,윤성욱,Yoon Sung Wook,청운관(북관)-026,Chungwoon Hall(006A)-026,보기,Y,Y,기초필수,기초필수
3,100834,일반화학,General Chemistry,"일반화학및실험 재수강 가능, 타과제한해제는 수강정정기간에 문의",11001,기필,Basic Requirements,3,월(1 ~ 3),Mon(1 ~ 3),60,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,최원숙,최원숙,청운관(북관)-026,Chungwoon Hall(006A)-026,보기,Y,Y,기초필수,기초필수
4,101066,일반물리학(1),General Physics(1),,11010,교필,General Education Required Course,2,화(6 ~ 7),Tue(6 ~ 7),0,기계시스템디자인공학과,Department of Mechanical System Design Engineering,자연과학부,School of Natural Sciences,이동원,이동원,다빈치관-219,Davinci Hall(039)-219,보기,N,,학문기초교양,학문기초교양
5,101066,일반물리학(1),General Physics(1),,11013,교필,General Education Required Course,2,목(3 ~ 4),Thu(3 ~ 4),0,기계시스템디자인공학과,Department of Mechanical System Design Engineering,자연과학부,School of Natural Sciences,전종훈,전종훈,다빈치관-013,Davinci Hall(039)-013,보기,N,,학문기초교양,학문기초교양
6,101066,일반물리학(1),General Physics(1),,11012,교필,General Education Required Course,2,화(6 ~ 7),Tue(6 ~ 7),0,기계시스템디자인공학과,Department of Mechanical System Design Engineering,자연과학부,School of Natural Sciences,이상학,이상학,다빈치관-013,Davinci Hall(039)-013,보기,N,,학문기초교양,학문기초교양
7,101066,일반물리학(1),General Physics(1),,11015,교필,General Education Required Course,2,목(3 ~ 4),Thu(3 ~ 4),0,기계시스템디자인공학과,Department of Mechanical System Design Engineering,자연과학부,School of Natural Sciences,최일수,최일수,다빈치관-220,Davinci Hall(039)-220,보기,N,,학문기초교양,학문기초교양
8,101066,일반물리학(1),General Physics(1),,11014,교필,General Education Required Course,2,목(3 ~ 4),Thu(3 ~ 4),0,기계시스템디자인공학과,Department of Mechanical System Design Engineering,자연과학부,School of Natural Sciences,이상학,이상학,다빈치관-219,Davinci Hall(039)-219,보기,N,,학문기초교양,학문기초교양
9,101066,일반물리학(1),General Physics(1),,11011,교필,General Education Required Course,2,화(6 ~ 7),Tue(6 ~ 7),0,기계시스템디자인공학과,Department of Mechanical System Design Engineering,자연과학부,School of Natural Sciences,민경남,민경남,다빈치관-209,Davinci Hall(039)-209,보기,N,,학문기초교양,학문기초교양
10,161005,재료역학,Mechanics Of Materials,,21006,전필,Major Required Courses,3,"수(5 ~ 6), 목(3)","Wed(5 ~ 6), Thu(3)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이승현,Seunghyun Lee,다산관-318 다산관-318,Dasan Hall(002)-318,보기,Y,Y,영어전용(Y),Offered in English
11,161005,재료역학,Mechanics Of Materials,,21004,전필,Major Required Courses,3,"월(5), 수(1 ~ 2)","Mon(5), Wed(1 ~ 2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,안다훈,"Ahn, Dahoon",프론티어관-401 프론티어관-401,Frontier Hall(032)-401,보기,Y,Y,영어전용(Y),Offered in English
12,161005,재료역학,Mechanics Of Materials,,21003,전필,Major Required Courses,3,"월(5), 수(1 ~ 2)","Mon(5), Wed(1 ~ 2)",41,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,허남수,"HUH, NAM-SU",프론티어관-408 프론티어관-408,Frontier Hall(032)-408,보기,Y,Y,,
13,161005,재료역학,Mechanics Of Materials,,21001,전필,Major Required Courses,3,"화(2), 목(6 ~ 7)","Tue(2), Thu(6 ~ 7)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김기범,"KIM,   GI BOM",프론티어관-410 프론티어관-410,Frontier Hall(032)-410,보기,Y,Y,,
14,161005,재료역학,Mechanics Of Materials,,21002,전필,Major Required Courses,3,"화(3 ~ 4), 목(8)","Tue(3 ~ 4), Thu(8)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김기범,"KIM,   GI BOM",프론티어관-410 프론티어관-410,Frontier Hall(032)-410,보기,Y,Y,,
15,161005,재료역학,Mechanics Of Materials,,21005,전필,Major Required Courses,3,"월(8 ~ 9), 수(2)","Mon(8 ~ 9), Wed(2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이승현,Seunghyun Lee,다산관-318 다산관-318,Dasan Hall(002)-318,보기,Y,Y,영어전용(Y),Offered in English
16,161006,공학수학(1),Engineering Mathematics(1),,21010,전필,Major Required Courses,3,"월(8 ~ 9), 수(2)","Mon(8 ~ 9), Wed(2)",35,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이창환,Chang-Whan LEE,다산관-310 다산관-310,Dasan Hall(002)-310,보기,Y,,영어전용(Y)  일반+사이버(70%미만)강좌,Offered in English
17,161006,공학수학(1),Engineering Mathematics(1),,21008,전필,Major Required Courses,3,"월(3), 화(6 ~ 7)","Mon(3), Tue(6 ~ 7)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,표순재,Soonjae Pyo,프론티어관-402 프론티어관-509,Frontier Hall(032)-509 Frontier Hall(032)-402,보기,Y,Y,영어전용(Y),Offered in English
18,161006,공학수학(1),Engineering Mathematics(1),,21009,전필,Major Required Courses,3,"월(3), 화(6 ~ 7)","Mon(3), Tue(6 ~ 7)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,석재영,Jae Young Seok,다산관-320 다산관-320,Dasan Hall(002)-320,보기,Y,Y,,
