professor_id,subject_code,subject_name,grd_ScheduleMain_SUBJ_ENM,grd_ScheduleMain_NOTE,subject_number,lecture_type,grd_ScheduleMain_CMPT_DIV_ENM,lecture_credit,lecture_time,grd_ScheduleMain_LSTM_LIST_ENM,lecture_max_personnel,created_college,grd_ScheduleMain_SP_LESS_CD_ENM,governed_college,grd_ScheduleMain_MNG_LESS_ENM,grd_ScheduleMain_PROF_NM,grd_ScheduleMain_PROF_ENM,lecture_classroom,grd_ScheduleMain_BLDG_COUM_ENM,grd_ScheduleMain_PROG_YN,university_exclusive,major_exclusive,others,grd_ScheduleMain_ETC_ENM,,subject_year,subejct_semester
iise-01,113031,기술과경영,Technology and Management,,31001,전선,Major Electives,3,월(6 ~ 8),Mon(6 ~ 8),59,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,이학연,"Lee, Hakyeon",프론티어관-408,Frontier Hall(032)-408,보기,1,1,,,,2023,1
iise-02,113036,공급사슬관리,Supply Chain Management,,31001,전선,Major Electives,3,화(2 ~ 4),Tue(2 ~ 4),55,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,조남욱,"Cho, Nam-Wook",프론티어관-402,Frontier Hall(032)-402,보기,1,1,영어전용(M),Offered in English,,2023,1
iise-03,113038,자바프로그래밍,JAVA Programming,,21001,전선,Major Electives,3,금(1 ~ 4),Fri(1 ~ 4),45,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,최희식,최희식,프론티어관-511,Frontier Hall(032)-511,보기,1,1,,,,2023,1
iise-04,113041,웹프로그래밍,Web Programming,,31001,전선,Major Electives,3,금(2 ~ 5),Fri(2 ~ 5),40,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,정진우,Jin-Woo Jeong,프론티어관-501,Frontier Hall(032)-501,보기,1,1,,,,2023,1
iise-05,113044,딥러닝,Deep Learning,,41001,전선,Major Electives,3,목(6 ~ 8),Thu(6 ~ 8),35,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,황상흠,"Hwang, Sangheum",프론티어관-501,Frontier Hall(032)-501,보기,1,1,영어전용(Y),Offered in English,,2023,1
iise-06,113046,사용자경험디자인,User Experience Design,,41001,전선,Major Electives,3,금(2 ~ 4),Fri(2 ~ 4),40,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,이영훈,"Lee, Younghoon",프론티어관-408,Frontier Hall(032)-408,보기,1,1,영어전용(Y),Offered in English,,2023,1
iise-07,113047,추계과정,Stochastic Processes,,31001,전선,Major Electives,3,목(6 ~ 8),Thu(6 ~ 8),58,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,심민규,"Sim, Minkyu",프론티어관-409,Frontier Hall(032)-409,보기,1,1,,,,2023,1
iise-08,113050,경제성공학,Engineering Economy,,21002,전선,Major Electives,3,목(2 ~ 4),Thu(2 ~ 4),57,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,안재경,"Ahn,  JaeKyoung",프론티어관-409,Frontier Hall(032)-409,보기,1,1,,,,2023,1
iise-08,113050,경제성공학,Engineering Economy,,21001,전선,Major Electives,3,화(7 ~ 9),Tue(7 ~ 9),40,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,안재경,"Ahn,  JaeKyoung",프론티어관-409,Frontier Hall(032)-409,보기,1,1,,,,2023,1
iise-10,113313,경영과학,Introduction to Management Science,,21001,전필,Major Required Courses,3,금(2 ~ 4),Fri(2 ~ 4),16,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,소영섭,소영섭,프론티어관-507,Frontier Hall(032)-507,보기,1,1,,,,2023,1
iise-10,113403,공업수학,Engineering Mathematics,,21001,전필,Major Required Courses,3,금(6 ~ 8),Fri(6 ~ 8),93,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,소영섭,소영섭,무궁관-911,Mugung Hall(057)-911,보기,1,1,,,,2023,1
iise-11,113409,선형대수학,Linear Algebra,,21001,전선,Major Electives,3,목(6 ~ 8),Thu(6 ~ 8),83,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,이강원,이강원,다산관-310,Dasan Hall(002)-310,보기,1,1,영어전용(M),Offered in English,,2023,1
iise-13,113414,생산관리,Production Management,,21002,전선,Major Electives,3,수(1 ~ 3),Wed(1 ~ 3),35,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,장성용,장성용,프론티어관-509,Frontier Hall(032)-509,보기,1,1,,,,2023,1
iise-13,113414,생산관리,Production Management,,21001,전선,Major Electives,3,월(6 ~ 8),Mon(6 ~ 8),35,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,장성용,장성용,프론티어관-402,Frontier Hall(032)-402,보기,1,1,,,,2023,1
iise-14,113449,경영과마케팅,Business and Marketing,,41001,전선,Major Electives,3,화(1 ~ 3),Tue(1 ~ 3),45,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,유형근,유형근,프론티어관-406,Frontier Hall(032)-406,보기,1,1,,,,2023,1
iise-15,113453,전사적자원관리,Enterprise Resource Planning,,41001,전선,Major Electives,3,화(7 ~ 9),Tue(7 ~ 9),40,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,김지표,"Kim, Jipyo",프론티어관-503,Frontier Hall(032)-503,보기,1,1,영어전용(M),Offered in English,,2023,1
iise-27,113464,품질경영론,Quality Management,,31001,전선,Major Electives,3,수(1 ~ 3),Wed(1 ~ 3),47,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,홍석기,홍석기,프론티어관-402,Frontier Hall(032)-402,보기,1,1,,,,2023,1
iise-08,113501,캡스톤디자인(1),Capstone Design(1),,41002,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),12,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,안재경,"Ahn,  JaeKyoung",프론티어관-407,Frontier Hall(032)-407,보기,1,1,논문세미나,Dissertation seminar,,2023,1
iise-17,113501,캡스톤디자인(1),Capstone Design(1),,41001,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),12,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,홍정식,"Hong, Jungsik",프론티어관-612,Frontier Hall(032)-612,보기,1,1,논문세미나,Dissertation seminar,,2023,1
iise-01,113501,캡스톤디자인(1),Capstone Design(1),,41004,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),12,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,이학연,"Lee, Hakyeon",프론티어관-601,Frontier Hall(032)-601,보기,1,1,논문세미나,Dissertation seminar,,2023,1
iise-06,113501,캡스톤디자인(1),Capstone Design(1),,41006,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),12,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,이영훈,"Lee, Younghoon",프론티어관-1003,Frontier Hall(032)-1003,보기,1,1,논문세미나,Dissertation seminar,,2023,1
iise-02,113501,캡스톤디자인(1),Capstone Design(1),,41003,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),12,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,조남욱,"Cho, Nam-Wook",프론티어관-503,Frontier Hall(032)-503,보기,1,1,논문세미나,Dissertation seminar,,2023,1
iise-05,113501,캡스톤디자인(1),Capstone Design(1),,41005,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),12,iise,Industrial and Information Systems Engineering,iise,Industrial and Information Systems Engineering,황상흠,"Hwang, Sangheum",프론티어관-602,Frontier Hall(032)-602,보기,1,1,논문세미나,Dissertation seminar,,2023,1
