subject_code,subject_number,subject_year,subject_semester,subject_name,professor_id,created_college,governed_college,lecture_credit,lecture_type,lecture_max_personnel,lecture_applied_number,lecture_exclusive,university_exclusive,lecture_building,lecture_room_number,others,lecture_bound,special_course,dad_of_revenge
113037,11002,2022,2,파이썬프로그래밍,iise-04,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,45,0,,,,,,,,
113037,11001,2022,2,파이썬프로그래밍,iise-03,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,40,,,,,,,,,
113043,31001,2022,2,경제성평가론,iise-08,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,42,,,,,,,,,
113241,11002,2022,2,통계처리입문,iise-17,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,41,,,,,,,,,
113241,11001,2022,2,통계처리입문,iise-17,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,38,,,,,,,,,
113258,21002,2022,2,공업통계학,iise-09,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,44,,,,,,,,,
113258,21001,2022,2,공업통계학,iise-28,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,40,,,,,,,,,
113312,31001,2022,2,컴퓨터시뮬레이션,iise-13,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,35,,,,,,,,,
113355,31001,2022,2,품질공학,iise-10,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,40,,,,,,,,,
113409,21001,2022,2,선형대수학,iise-11,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,70,,,,,,영어전용,,,
113434,21001,2022,2,데이터베이스,iise-22,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,40,,,,,,,,,
113452,41001,2022,2,벤처창업론,iise-14,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,40,,,,,,,,,
113484,21001,2022,2,물류관리론,iise-06,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,41,,,,,,,,,
113502,41003,2022,2,캡스톤디자인(2),iise-15,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,12,,,,,,,,,
113502,41001,2022,2,캡스톤디자인(2),iise-17,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,12,,,,,,,,,
113502,41004,2022,2,캡스톤디자인(2),iise-19,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,12,,,,,,,,,
113502,41002,2022,2,캡스톤디자인(2),iise-08,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,12,,,,,,,,,
113502,41006,2022,2,캡스톤디자인(2),iise-09,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,12,,,,,,,,,
113502,41005,2022,2,캡스톤디자인(2),iise-04,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,12,,,,,,,,,
113505,31001,2022,2,투자공학,iise-15,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,41,,,,,,,,,
113507,41001,2022,2,프로젝트관리론,iise-24,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,40,,,,,,,,,
113525,41001,2022,2,정보보호론,iise-20,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,60,,,,,,,,,
113528,41001,2022,2,코업(4),iise-05,산업정보시스템전공(학부),산업정보시스템전공(학부),6,전선,10,,,,,,,,,
113529,41001,2022,2,코업프로젝트(4),iise-05,산업정보시스템전공(학부),산업정보시스템전공(학부),12,전선,10,,,,,,,,,
113531,21001,2022,2,자료구조및알고리즘,iise-19,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,35,,,,,,,,,
113532,31001,2022,2,컴퓨터시스템,iise-20,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,46,,,,,,,,,
113533,21001,2022,2,회계원론,iise-24,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,65,,,,,,,,,
