subject_code,subject_number,subject_year,subject_semester,subject_name,professor_id,created_college,governed_college,lecture_credit,lecture_type,lecture_max_personnel,lecture_applied_number,lecture_exclusive,university_exclusive,lecture_building,lecture_room_number,others,lecture_bound,special_course,dad_of_revenge
100019,31001,2023,1,파생상품의수학적이해,,교양대학,자연과학부,3,교선,30,0,,,,,,,,
100021,31001,,,인공지능의수학과과학,,교양대학,자연과학부,3,교선,30,,,,,,,,,
100021,31002,,,인공지능의수학과과학,,교양대학,자연과학부,3,교선,30,,,,,,,,,
100021,31003,,,인공지능의수학과과학,,교양대학,자연과학부,3,교선,30,,,,,,,,,
100031,31002,,,생명과진화,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100031,31001,,,생명과진화,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100039,31001,,,미디어로본한국사,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100043,31001,,,한국사를통해본동아시아,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100045,31001,,,중화제국의몰락과신중국의 탄생,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100046,31001,,,현대일본의형성,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100049,31001,,,대학생이알아야할시사,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100053,31001,,,현대사회의고용과노동,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100063,31003,,,현대과학과인류문명,,교양대학,교양대학,3,교선,999,,,,,,사이버강좌전용 제4영역,,,
100063,31001,,,현대과학과인류문명,,교양대학,융합교양학부,3,교선,40,,,,,,제4영역,,,
100065,31001,,,글로벌이슈와국제관계,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100066,31001,,,행복심리학,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100147,31002,,,볼링1,,교양대학,스포츠과학과,2,교선,30,,,,,,체육,,,
100147,31003,,,볼링1,,교양대학,스포츠과학과,2,교선,30,,,,,,체육,,,
100147,31004,,,볼링1,,교양대학,스포츠과학과,2,교선,30,,,,,,체육,,,
100147,31005,,,볼링1,,교양대학,스포츠과학과,2,교선,30,,,,,,체육,,,
100147,31006,,,볼링1,,교양대학,스포츠과학과,2,교선,30,,,,,,체육,,,
100147,31007,,,볼링1,,교양대학,스포츠과학과,2,교선,30,,,,,,체육,,,
100147,31001,,,볼링1,,교양대학,스포츠과학과,2,교선,30,,,,,,영어전용(Y) 체육,,,
100154,31004,,,테니스,,교양대학,스포츠과학과,2,교선,30,,,,,,체육,,,
100154,31003,,,테니스,,교양대학,스포츠과학과,2,교선,30,,,,,,체육,,,
100154,31002,,,테니스,,교양대학,스포츠과학과,2,교선,30,,,,,,체육,,,
100154,31001,,,테니스,,교양대학,스포츠과학과,2,교선,30,,,,,,영어전용(M) 체육,,,
100165,11019,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11020,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11021,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11022,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11023,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11024,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11025,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11007,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11039,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11009,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11010,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11011,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11012,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11013,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11014,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11015,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11016,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11001,,,미분적분학(1),,교양대학,자연과학부,3,교필,40,,,,,,영어전용(M)   학문기초교양,,,
100165,11006,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
100165,11004,,,미분적분학(1),,교양대학,자연과학부,3,교필,33,,,,,,학문기초교양,,,
